Issue Type,Issue ID,Summary,Description,Epic Link,Parent,Priority,Story Points,Sprint,Labels,Component
Epic,CS-EP-01,Fondations & Monorepo,Epic CARSERVICE: Fondations & Monorepo,,,Highest,,,"M00,M01",M00
Epic,CS-EP-02,Identité & Comptes,Epic CARSERVICE: Identité & Comptes,,,Highest,,,M02,M02
Epic,CS-EP-03,Catalogue & Géographie,Epic CARSERVICE: Catalogue & Géographie,,,Highest,,,M03,M03
Epic,CS-EP-04,Pros & KYC,Epic CARSERVICE: Pros & KYC,,,Highest,,,M04,M04
Epic,CS-EP-05,Réservations & Matching,Epic CARSERVICE: Réservations & Matching,,,Highest,,,M05,M05
Epic,CS-EP-06,Paiements Stripe,Epic CARSERVICE: Paiements Stripe,,,Highest,,,M06,M06
Epic,CS-EP-07,Médias & Preuves,Epic CARSERVICE: Médias & Preuves,,,Highest,,,M07,M07
Epic,CS-EP-08,Avis & Litiges,Epic CARSERVICE: Avis & Litiges,,,High,,,M08,M08
Epic,CS-EP-09,Notifications,Epic CARSERVICE: Notifications,,,High,,,M09,M09
Epic,CS-EP-10,API Admin,Epic CARSERVICE: API Admin,,,Highest,,,M10,M10
Epic,CS-EP-11,App Mobile Client,Epic CARSERVICE: App Mobile Client,,,Highest,,,M11,M11
Epic,CS-EP-12,App Mobile Pro,Epic CARSERVICE: App Mobile Pro,,,Highest,,,M12,M12
Epic,CS-EP-13,Admin Web,Epic CARSERVICE: Admin Web,,,Highest,,,M13,M13
Epic,CS-EP-14,QA & Mise en production,Epic CARSERVICE: QA & Mise en production,,,Highest,,,M14,M14
Story,CS-M00-S01,Initialiser monorepo Turborepo + pnpm,Module M00. Story Points: 5,CS-EP-01,,Highest,5,S0,"M00,api",M00
Task,CS-M00-S01-T01,Créer pnpm-workspace.yaml + turbo.json,Sub-task of CS-M00-S01. Est: 1h,CS-EP-01,CS-M00-S01,Highest,1,S0,"M00,infra",M00
Task,CS-M00-S01-T02,Scaffold apps/api NestJS,Sub-task of CS-M00-S01. Est: 1h,CS-EP-01,CS-M00-S01,Highest,1,S0,"M00,infra",M00
Task,CS-M00-S01-T03,Scaffold apps/admin Next.js,Sub-task of CS-M00-S01. Est: 1h,CS-EP-01,CS-M00-S01,Highest,1,S0,"M00,infra",M00
Task,CS-M00-S01-T04,Scaffold apps/mobile-client Expo,Sub-task of CS-M00-S01. Est: 1h,CS-EP-01,CS-M00-S01,Highest,1,S0,"M00,infra",M00
Task,CS-M00-S01-T05,Scaffold apps/mobile-provider Expo,Sub-task of CS-M00-S01. Est: 1h,CS-EP-01,CS-M00-S01,Highest,1,S0,"M00,infra",M00
Story,CS-M00-S02,Docker Compose local Postgres+PostGIS Redis,Module M00. Story Points: 3,CS-EP-01,,Highest,3,S0,"M00,api",M00
Task,CS-M00-S02-T01,docker-compose PostGIS 16,Sub-task of CS-M00-S02. Est: 1h,CS-EP-01,CS-M00-S02,Highest,1,S0,"M00,infra",M00
Task,CS-M00-S02-T02,Service Redis 7,Sub-task of CS-M00-S02. Est: 1h,CS-EP-01,CS-M00-S02,Highest,1,S0,"M00,infra",M00
Task,CS-M00-S02-T03,Script pnpm db:up + README,Sub-task of CS-M00-S02. Est: 1h,CS-EP-01,CS-M00-S02,Highest,1,S0,"M00,infra",M00
Story,CS-M00-S03,CI GitHub Actions lint test build,Module M00. Story Points: 5,CS-EP-01,,Highest,5,S0,"M00,api",M00
Task,CS-M00-S03-T01,Workflow PR install lint typecheck,Sub-task of CS-M00-S03. Est: 2h,CS-EP-01,CS-M00-S03,Highest,2,S0,"M00,infra",M00
Task,CS-M00-S03-T02,Workflow PR test build turbo,Sub-task of CS-M00-S03. Est: 2h,CS-EP-01,CS-M00-S03,Highest,2,S0,"M00,infra",M00
Task,CS-M00-S03-T03,Cache pnpm turbo,Sub-task of CS-M00-S03. Est: 1h,CS-EP-01,CS-M00-S03,Highest,1,S0,"M00,infra",M00
Story,CS-M00-S04,Environnements staging Railway/Render,Module M00. Story Points: 5,CS-EP-01,,Highest,5,S0,"M00,api",M00
Task,CS-M00-S04-T01,Projet Railway API + worker,Sub-task of CS-M00-S04. Est: 2h,CS-EP-01,CS-M00-S04,Highest,2,S0,"M00,infra",M00
Task,CS-M00-S04-T02,Postgres staging PostGIS,Sub-task of CS-M00-S04. Est: 2h,CS-EP-01,CS-M00-S04,Highest,2,S0,"M00,infra",M00
Task,CS-M00-S04-T03,Redis staging env vars,Sub-task of CS-M00-S04. Est: 1h,CS-EP-01,CS-M00-S04,Highest,1,S0,"M00,infra",M00
Story,CS-M00-S05,Sentry + logging Pino API,Module M00. Story Points: 3,CS-EP-01,,High,3,S1,"M00,api",M00
Task,CS-M00-S05-T01,Intégration Sentry NestJS,Sub-task of CS-M00-S05. Est: 2h,CS-EP-01,CS-M00-S05,High,2,S1,"M00,infra",M00
Task,CS-M00-S05-T02,Logger Pino JSON requestId,Sub-task of CS-M00-S05. Est: 1h,CS-EP-01,CS-M00-S05,High,1,S1,"M00,infra",M00
Story,CS-M00-S06,Documentation .env.example toutes apps,Module M00. Story Points: 2,CS-EP-01,,Highest,2,S0,"M00,api",M00
Task,CS-M00-S06-T01,Créer .env.example api admin mobile,Sub-task of CS-M00-S06. Est: 2h,CS-EP-01,CS-M00-S06,Highest,2,S0,"M00,infra",M00
Story,CS-M01-S01,Package @carservice/shared-types,Module M01. Story Points: 5,CS-EP-01,,Highest,5,S1,"M01,api",M01
Task,CS-M01-S01-T01,Enums BookingStatus UserRole KycStatus VehicleType,Sub-task of CS-M01-S01. Est: 1h,CS-EP-01,CS-M01-S01,Highest,1,S1,"M01,shared",M01
Task,CS-M01-S01-T02,Schemas Zod auth,Sub-task of CS-M01-S01. Est: 1h,CS-EP-01,CS-M01-S01,Highest,1,S1,"M01,shared",M01
Task,CS-M01-S01-T03,Schemas Zod catalog booking,Sub-task of CS-M01-S01. Est: 2h,CS-EP-01,CS-M01-S01,Highest,2,S1,"M01,shared",M01
Task,CS-M01-S01-T04,Export barrel index.ts,Sub-task of CS-M01-S01. Est: 1h,CS-EP-01,CS-M01-S01,Highest,1,S1,"M01,shared",M01
Story,CS-M01-S02,Package @carservice/api-client,Module M01. Story Points: 5,CS-EP-01,,Highest,5,S1,"M01,api",M01
Task,CS-M01-S02-T01,apiRequest wrapper ApiError,Sub-task of CS-M01-S02. Est: 2h,CS-EP-01,CS-M01-S02,Highest,2,S1,"M01,shared",M01
Task,CS-M01-S02-T02,Module auth token refresh,Sub-task of CS-M01-S02. Est: 2h,CS-EP-01,CS-M01-S02,Highest,2,S1,"M01,shared",M01
Task,CS-M01-S02-T03,Stubs catalog bookings endpoints,Sub-task of CS-M01-S02. Est: 1h,CS-EP-01,CS-M01-S02,Highest,1,S1,"M01,shared",M01
Story,CS-M01-S03,Package @carservice/ui-tokens,Module M01. Story Points: 3,CS-EP-01,,Highest,3,S1,"M01,api",M01
Task,CS-M01-S03-T01,Colors spacing radius typography,Sub-task of CS-M01-S03. Est: 2h,CS-EP-01,CS-M01-S03,Highest,2,S1,"M01,shared",M01
Task,CS-M01-S03-T02,Export pour NativeWind + Tailwind admin,Sub-task of CS-M01-S03. Est: 1h,CS-EP-01,CS-M01-S03,Highest,1,S1,"M01,shared",M01
Story,CS-M01-S04,Config ESLint Prettier partagée,Module M01. Story Points: 2,CS-EP-01,,High,2,S1,"M01,api",M01
Task,CS-M01-S04-T01,Package eslint-config + husky lint-staged,Sub-task of CS-M01-S04. Est: 2h,CS-EP-01,CS-M01-S04,High,2,S1,"M01,shared",M01
Story,CS-M02-S01,Schéma Prisma users profiles,Module M02. Story Points: 3,CS-EP-02,,Highest,3,S1,"M02,api",M02
Task,CS-M02-S01-T01,Models users client_profiles provider_profiles,Sub-task of CS-M02-S01. Est: 1h,CS-EP-02,CS-M02-S01,Highest,1,S1,"M02,backend",M02
